city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Helvecia,-31.0983,-60.0883,Argentina,AR,Santa Fe,minor,,
Santa Sylvina,-27.7833,-61.1500,Argentina,AR,Chaco,minor,,
Nuestra Señora del Rosario de Caa Catí,-27.7507,-57.6207,Argentina,AR,Corrientes,minor,,
Rosario de la Frontera,-25.8000,-64.9667,Argentina,AR,Salta,minor,,
Herrera,-28.4809,-63.0678,Argentina,AR,Santiago del Estero,minor,,
Tafí del Valle,-26.8527,-65.7098,Argentina,AR,Tucumán,minor,,
Brea Pozo,-28.2500,-63.9500,Argentina,AR,Santiago del Estero,minor,,
Presidencia de la Plaza,-26.9833,-59.8333,Argentina,AR,Chaco,minor,,
Caucete,-31.6500,-68.2833,Argentina,AR,San Juan,minor,,
Curuzú Cuatiá,-29.7833,-58.0833,Argentina,AR,Corrientes,minor,,
Ameghino,-34.8440,-62.4670,Argentina,AR,Buenos Aires,minor,,
Espinillo,-24.9813,-58.5521,Argentina,AR,Formosa,minor,,
Intendente Alvear,-35.2338,-63.5920,Argentina,AR,La Pampa,minor,,
Federal,-30.9546,-58.7833,Argentina,AR,Entre Ríos,minor,,
San Cristóbal,-30.3105,-61.2372,Argentina,AR,Santa Fe,minor,,
San Francisco de Laishí,-26.2426,-58.6304,Argentina,AR,Formosa,minor,,
San Javier,-30.5778,-59.9317,Argentina,AR,Santa Fe,minor,,
San José de Feliciano,-30.3845,-58.7517,Argentina,AR,Entre Ríos,minor,,
Villa La Angostura,-40.7797,-71.6615,Argentina,AR,Neuquén,minor,,
Villa Atamisqui,-28.4961,-63.8161,Argentina,AR,Santiago del Estero,minor,,
Daireaux,-36.6000,-61.7500,Argentina,AR,Buenos Aires,minor,,
General Pinto,-34.7646,-61.8909,Argentina,AR,Buenos Aires,minor,,
Hermoso Campo,-27.6167,-61.3500,Argentina,AR,Chaco,minor,,
General Villegas,-35.0328,-63.0125,Argentina,AR,Buenos Aires,minor,,
Concepción,-28.3917,-57.8878,Argentina,AR,Corrientes,minor,,
Villa Santa Rosa,-31.7443,-68.3141,Argentina,AR,San Juan,minor,,
Coronel Pringles,-37.9829,-61.3562,Argentina,AR,Buenos Aires,minor,,
Junín de los Andes,-39.9504,-71.0694,Argentina,AR,Neuquén,minor,,
Alvear,-29.0968,-56.5504,Argentina,AR,Corrientes,minor,,
La Candelaria,-26.1271,-65.0496,Argentina,AR,Salta,minor,,
General Enrique Mosconi,-23.2167,-62.3000,Argentina,AR,Formosa,minor,,
La Merced,-28.1544,-65.6595,Argentina,AR,Catamarca,minor,,
Buta Ranquil,-37.0522,-69.8771,Argentina,AR,Neuquén,minor,,
Castelli,-36.0895,-57.8039,Argentina,AR,Buenos Aires,minor,,
Maipú,-36.8627,-57.8809,Argentina,AR,Buenos Aires,minor,,
Santa Clara,-24.2833,-64.6833,Argentina,AR,Jujuy,minor,,
Santa María,-26.6955,-66.0473,Argentina,AR,Catamarca,minor,,
Andalgalá,-27.6000,-66.3167,Argentina,AR,Catamarca,minor,,
General Lavalle,-32.7222,-68.5914,Argentina,AR,Mendoza,minor,,
Lobería,-38.1557,-58.7913,Argentina,AR,Buenos Aires,minor,,
Los Telares,-28.9848,-63.4489,Argentina,AR,Santiago del Estero,minor,,
La Viña,-25.4664,-65.5663,Argentina,AR,Salta,minor,,
San Miguel,-27.9958,-57.5896,Argentina,AR,Corrientes,minor,,
Quemú Quemú,-36.0546,-63.5643,Argentina,AR,La Pampa,minor,,
Sauce,-30.0867,-58.7878,Argentina,AR,Corrientes,minor,,
Rauch,-36.7745,-59.0897,Argentina,AR,Buenos Aires,minor,,
Ituzaingó,-27.5816,-56.6823,Argentina,AR,Corrientes,minor,,
La Toma,-33.0526,-65.6239,Argentina,AR,San Luis,minor,,
Berón de Astrada,-27.5507,-57.5346,Argentina,AR,Corrientes,minor,,
Pellegrini,-36.2658,-63.1655,Argentina,AR,Buenos Aires,minor,,
General Alvear,-34.9667,-67.7000,Argentina,AR,Mendoza,minor,,
General Alvear,-36.0208,-60.0145,Argentina,AR,Buenos Aires,minor,,
Tornquist,-38.1000,-62.2333,Argentina,AR,Buenos Aires,minor,,
Médanos,-38.8280,-62.6936,Argentina,AR,Buenos Aires,minor,,
González Chaves,-38.0330,-60.0984,Argentina,AR,Buenos Aires,minor,,
Aminga,-28.8477,-66.9304,Argentina,AR,La Rioja,minor,,
Villa del Salvador,-31.4415,-68.3975,Argentina,AR,San Juan,minor,,
Carlos Tejedor,-35.3927,-62.4215,Argentina,AR,Buenos Aires,minor,,
Bandera,-28.8884,-62.2660,Argentina,AR,Santiago del Estero,minor,,
Catriló,-36.4060,-63.4217,Argentina,AR,La Pampa,minor,,
Ayacucho,-37.1519,-58.4869,Argentina,AR,Buenos Aires,minor,,
Villa Huidobro,-34.8383,-64.5869,Argentina,AR,Córdoba,minor,,
La Consulta,-33.7358,-69.1218,Argentina,AR,Mendoza,minor,,
Macachín,-37.1360,-63.6665,Argentina,AR,La Pampa,minor,,
Nueva Esperanza,-26.1999,-64.2401,Argentina,AR,Santiago del Estero,minor,,
Toay,-36.6734,-64.3786,Argentina,AR,La Pampa,minor,,
San Cayetano,-38.3465,-59.6095,Argentina,AR,Buenos Aires,minor,,
Garza,-28.1532,-63.5393,Argentina,AR,Santiago del Estero,minor,,
Esquiú,-29.3833,-65.2833,Argentina,AR,Catamarca,minor,,
San Antonio,-28.9333,-65.1000,Argentina,AR,Catamarca,minor,,
San Pedro,-27.9539,-65.1665,Argentina,AR,Santiago del Estero,minor,,
Trenel,-35.6984,-64.1322,Argentina,AR,La Pampa,minor,,
La Cañada,-27.7083,-63.7737,Argentina,AR,Santiago del Estero,minor,,
Eduardo Castex,-35.9150,-64.2945,Argentina,AR,La Pampa,minor,,
Guaminí,-37.0333,-62.4167,Argentina,AR,Buenos Aires,minor,,
Villa Paranacito,-33.7221,-58.6580,Argentina,AR,Entre Ríos,minor,,
Winifreda,-36.2264,-64.2339,Argentina,AR,La Pampa,minor,,
San Blas de los Sauces,-28.4105,-67.0934,Argentina,AR,La Rioja,minor,,
Santa Victoria,-22.2500,-64.9667,Argentina,AR,Salta,minor,,
Sumampa,-29.3847,-63.4691,Argentina,AR,Santiago del Estero,minor,,
Pozo Hondo,-27.1661,-64.4900,Argentina,AR,Santiago del Estero,minor,,
Puan,-37.5458,-62.7672,Argentina,AR,Buenos Aires,minor,,
Olta,-30.6312,-66.2630,Argentina,AR,La Rioja,minor,,
Guatraché,-37.6678,-63.5302,Argentina,AR,La Pampa,minor,,
Cachí,-25.1203,-66.1652,Argentina,AR,Salta,minor,,
Villa Ojo de Agua,-29.5000,-63.6938,Argentina,AR,Santiago del Estero,minor,,
Carmen de Patagones,-40.7983,-62.9810,Argentina,AR,Buenos Aires,minor,,
Valle Grande,-23.4773,-64.9425,Argentina,AR,Jujuy,minor,,
Tapalqué,-36.3549,-60.0264,Argentina,AR,Buenos Aires,minor,,
San Francisco del Monte de Oro,-32.5983,-66.1254,Argentina,AR,San Luis,minor,,
General La Madrid,-37.2476,-61.2627,Argentina,AR,Buenos Aires,minor,,
Villa de María,-29.9020,-63.7229,Argentina,AR,Córdoba,minor,,
La Puerta,-28.1667,-65.7833,Argentina,AR,Catamarca,minor,,
La Cruz,-29.1744,-56.6433,Argentina,AR,Corrientes,minor,,
Quimilí,-27.6333,-62.4167,Argentina,AR,Santiago del Estero,minor,,
Suncho Corral,-27.9336,-63.4294,Argentina,AR,Santiago del Estero,minor,,
Selva,-29.7678,-62.0477,Argentina,AR,Santiago del Estero,minor,,
Saujil,-28.1744,-66.2118,Argentina,AR,Catamarca,minor,,
Parera,-35.1460,-64.5009,Argentina,AR,La Pampa,minor,,
Milagro,-31.0033,-66.0010,Argentina,AR,La Rioja,minor,,
Sañogasta,-29.0952,-67.1159,Argentina,AR,La Rioja,minor,,
Santa Rosa,-33.2541,-68.1494,Argentina,AR,Mendoza,minor,,
Tostado,-29.2320,-61.7692,Argentina,AR,Santa Fe,minor,,
El Alto,-28.3000,-65.3667,Argentina,AR,Catamarca,minor,,
Salsacate,-31.3165,-65.0853,Argentina,AR,Córdoba,minor,,
Villa Tulumba,-30.3955,-64.1224,Argentina,AR,Córdoba,minor,,
Molinos,-25.4395,-66.2913,Argentina,AR,Salta,minor,,
Iruya,-22.7667,-65.2333,Argentina,AR,Salta,minor,,
General Lavalle,-36.4063,-56.9433,Argentina,AR,Buenos Aires,minor,,
San José de Jáchal,-30.2406,-68.7469,Argentina,AR,San Juan,minor,,
Leleque,-42.3833,-71.0500,Argentina,AR,Chubut,minor,,
Campo Gallo,-26.5833,-62.8500,Argentina,AR,Santiago del Estero,minor,,
San Francisco del Chañar,-29.7899,-63.9386,Argentina,AR,Córdoba,minor,,
Famatina,-28.9232,-67.5225,Argentina,AR,La Rioja,minor,,
San Agustín de Valle Fértil,-30.6335,-67.4682,Argentina,AR,San Juan,minor,,
Libertador General San Martín,-32.4107,-65.6759,Argentina,AR,San Luis,minor,,
Loncopué,-38.0728,-70.6161,Argentina,AR,Neuquén,minor,,
Tumbaya,-23.8563,-65.4574,Argentina,AR,Jujuy,minor,,
Ancasti,-28.8000,-65.5000,Argentina,AR,Catamarca,minor,,
General Conesa,-36.5201,-57.3254,Argentina,AR,Buenos Aires,minor,,
San Carlos,-31.1776,-65.1025,Argentina,AR,Córdoba,minor,,
San Carlos,-25.8862,-65.9294,Argentina,AR,Salta,minor,,
Rivadavia,-24.1883,-62.8902,Argentina,AR,Salta,minor,,
Bernasconi,-37.9000,-63.7167,Argentina,AR,La Pampa,minor,,
General Guido,-36.6406,-57.7921,Argentina,AR,Buenos Aires,minor,,
Andacollo,-37.1795,-70.6691,Argentina,AR,Neuquén,minor,,
General Acha,-37.3770,-64.6043,Argentina,AR,La Pampa,minor,,
Guachipas,-25.5203,-65.5094,Argentina,AR,Salta,minor,,
Malanzán,-30.8000,-66.6160,Argentina,AR,La Rioja,minor,,
Picún Leufú,-39.5235,-69.2797,Argentina,AR,Neuquén,minor,,
Añelo,-38.3544,-68.7884,Argentina,AR,Neuquén,minor,,
Laguna Yema,-24.2539,-61.2447,Argentina,AR,Formosa,minor,,
Pila,-36.0006,-58.1439,Argentina,AR,Buenos Aires,minor,,
Villa Unión,-29.3159,-68.2266,Argentina,AR,La Rioja,minor,,
Ulapes,-31.5736,-66.2365,Argentina,AR,La Rioja,minor,,
Gaimán,-43.2897,-65.4929,Argentina,AR,Chubut,minor,,
Santa Catalina,-21.9447,-66.0522,Argentina,AR,Jujuy,minor,,
Río Colorado,-38.9940,-64.0929,Argentina,AR,Río Negro,minor,,
Piedra del Águila,-40.0481,-70.0741,Argentina,AR,Neuquén,minor,,
Pilcaniyeu,-41.1188,-70.7291,Argentina,AR,Río Negro,minor,,
Tama,-30.5078,-66.5453,Argentina,AR,La Rioja,minor,,
Patquía,-30.0500,-66.8830,Argentina,AR,La Rioja,minor,,
Charadai,-27.6546,-59.8629,Argentina,AR,Chaco,minor,,
Villa Unión,-29.4128,-62.7872,Argentina,AR,Santiago del Estero,minor,,
Maquinchao,-41.2500,-68.7333,Argentina,AR,Río Negro,minor,,
Villa General Roca,-32.6662,-66.4518,Argentina,AR,San Luis,minor,,
Buena Esperanza,-34.7565,-65.2538,Argentina,AR,San Luis,minor,,
Puerto Santa Cruz,-50.0191,-68.5232,Argentina,AR,Santa Cruz,minor,,
Santa Isabel,-36.2272,-66.9424,Argentina,AR,La Pampa,minor,,
Valcheta,-40.7000,-66.1500,Argentina,AR,Río Negro,minor,,
La Poma,-24.7220,-66.2011,Argentina,AR,Salta,minor,,
Tamberías,-31.4581,-69.4222,Argentina,AR,San Juan,minor,,
Villa Castelli,-29.0180,-68.2270,Argentina,AR,La Rioja,minor,,
El Cuy,-39.9269,-68.3421,Argentina,AR,Río Negro,minor,,
Vinchina,-28.7596,-68.2069,Argentina,AR,La Rioja,minor,,
Algarrobo del Águila,-36.4010,-67.1452,Argentina,AR,La Pampa,minor,,
Ñorquinco,-41.8507,-70.9017,Argentina,AR,Río Negro,minor,,
Camarones,-44.7971,-65.7099,Argentina,AR,Chubut,minor,,
Puelches,-38.1456,-65.9143,Argentina,AR,La Pampa,minor,,
Limay Mahuida,-37.1592,-66.6751,Argentina,AR,La Pampa,minor,,
Antofagasta de la Sierra,-26.0594,-67.4064,Argentina,AR,Catamarca,minor,,
Cuchillo Có,-38.3333,-64.6167,Argentina,AR,La Pampa,minor,,
